epoch,det_loss,cls_loss,box_loss,quality_loss,depth_loss,lr
1,12.615479,3.176184,4.870375,4.252016,0.316904,4.987e-05
2,10.868668,2.284537,4.141899,4.194506,0.247726,4.947e-05
3,10.284139,1.952062,3.937872,4.166218,0.227987,4.881e-05
4,9.773737,1.736761,3.717627,4.104639,0.214710,4.788e-05
5,9.395574,1.603137,3.558131,4.029085,0.205221,4.670e-05
6,9.202487,1.449513,3.541080,4.015335,0.196559,4.528e-05
7,8.882846,1.340857,3.403158,3.949422,0.189410,4.364e-05
8,8.540751,1.256452,3.217964,3.881010,0.185326,4.179e-05
9,8.303557,1.161126,3.143649,3.818774,0.180009,3.976e-05
10,8.211976,1.105070,3.119722,3.810250,0.176935,3.757e-05
11,7.875792,1.012885,2.958867,3.730836,0.173204,3.524e-05
12,7.762975,0.985494,2.903208,3.704390,0.169884,3.280e-05
13,7.733701,0.930454,2.933558,3.703021,0.166668,3.027e-05
14,7.548397,0.865892,2.854336,3.664252,0.163917,2.769e-05
15,7.466985,0.831872,2.828299,3.644624,0.162190,2.508e-05
16,7.294252,0.805493,2.724807,3.603156,0.160796,2.246e-05
17,7.286595,0.718956,2.769328,3.642068,0.156242,1.988e-05
18,6.783062,0.689487,2.464241,3.478622,0.150712,1.735e-05
19,6.736580,0.643861,2.470261,3.473656,0.148802,1.490e-05
20,6.614540,0.622585,2.419865,3.422864,0.149225,1.257e-05
21,6.514678,0.587373,2.391224,3.388275,0.147807,1.037e-05
22,6.300585,0.563906,2.271575,3.319367,0.145737,8.333e-06
23,6.161139,0.539316,2.214425,3.263089,0.144309,6.481e-06
24,6.024762,0.520428,2.148716,3.212630,0.142989,4.832e-06
25,5.928629,0.502776,2.105786,3.177247,0.142821,3.404e-06
26,5.815828,0.480667,2.055445,3.138307,0.141409,2.215e-06
27,5.809891,0.480744,2.054446,3.133411,0.141291,1.275e-06
28,5.741475,0.466896,2.022073,3.111698,0.140809,5.972e-07
29,5.730093,0.462597,2.022103,3.104271,0.141122,1.872e-07
