update,grad_norm,clipped,loss,cls,box,quality,depth,num_pos,gate_rate,temp_gate_absmean,bank_slots,temporal_active,bank_resets,grad_backbone,grad_head
0,19.3571,0,15.5745,13.7460,0.0000,0.0000,1.8285,12,0.000,0.00000,4,4/4,0,14.0757,13.2881
1,18.4691,0,14.9752,13.2811,0.0000,0.0000,1.6941,11,0.000,0.00002,4,4/4,0,12.5202,13.5776
2,18.5882,0,14.7538,13.1771,0.0000,0.0000,1.5767,11,0.000,0.00003,4,4/4,0,12.4345,13.8169
3,16.2247,0,14.4665,12.9406,0.0000,0.0000,1.5258,11,0.000,0.00004,4,4/4,0,8.8453,13.6015
4,16.3302,0,13.9752,12.4857,0.0000,0.0000,1.4894,11,0.000,0.00006,4,4/4,0,9.1354,13.5359
5,17.2038,0,14.1101,12.2489,0.2252,0.1741,1.4618,11,0.182,0.00007,4,4/4,0,10.3488,13.7431
6,17.6095,0,14.1207,12.0121,0.4157,0.2371,1.4558,11,0.273,0.00008,4,4/4,0,10.9549,13.7872
7,18.7716,0,14.9231,11.8637,1.1451,0.4847,1.4295,11,0.545,0.00010,4,4/4,0,12.3691,14.1202
8,17.6983,0,14.4654,11.6723,0.9320,0.3896,1.4714,11,0.455,0.00011,4,4/4,0,10.2005,14.4630
9,18.8136,0,15.0256,11.4025,1.5244,0.6638,1.4350,11,0.727,0.00013,4,4/4,0,11.3034,15.0394
10,17.3852,0,14.1888,11.0666,1.1415,0.5692,1.4115,11,0.636,0.00014,4,4/4,0,9.7421,14.3992
11,16.4542,0,14.2256,11.1797,1.0144,0.4980,1.5335,12,0.583,0.00015,4,4/4,0,8.4524,14.1173
12,16.3440,0,14.0533,10.9051,1.1493,0.5815,1.4173,12,0.667,0.00016,4,4/4,0,8.4136,14.0120
13,17.1729,0,13.9183,10.6791,1.2217,0.6605,1.3570,12,0.667,0.00018,4,4/4,0,9.1442,14.5359
14,18.2230,0,14.6947,10.7454,1.6515,0.8924,1.4053,12,0.833,0.00019,4,4/4,0,8.6075,16.0620
15,19.5302,0,14.3084,10.5870,1.6330,0.7658,1.3226,11,0.818,0.00020,4,4/4,0,10.1989,16.6556
16,17.8690,0,14.0452,10.4412,1.4984,0.8204,1.2852,11,0.636,0.00022,4,4/4,0,10.3456,14.5694
17,17.8583,0,13.2326,10.3457,1.0681,0.5666,1.2522,11,0.455,0.00023,4,4/4,0,11.3902,13.7543
18,17.7439,0,13.2360,10.0100,1.3005,0.6637,1.2618,11,0.545,0.00025,4,4/4,0,9.7160,14.8474
19,16.6429,0,13.8331,10.1427,1.5499,0.9004,1.2401,11,0.636,0.00027,4,4/4,0,9.4483,13.7010
20,19.1532,0,13.8158,10.0185,1.6486,0.9702,1.1785,11,0.818,0.00028,4,4/4,0,10.3688,16.1038
21,19.6140,0,14.4110,9.8868,2.2117,1.1611,1.1514,11,0.818,0.00030,4,4/4,0,10.6442,16.4745
22,20.9760,0,14.3317,9.6315,2.3584,1.2380,1.1038,10,0.900,0.00032,4,4/4,0,11.1757,17.7510
23,19.0222,0,14.5829,9.6395,2.5518,1.2786,1.1130,9,0.889,0.00034,4,4/4,0,10.9854,15.5294
